Date & time,Total,Quality,Location
00:00:00 27/09/1993,0.0,83,1361P002
00:00:00 28/09/1993,0.0,83,1361P002
00:00:00 29/09/1993,1.5,83,1361P002
00:00:00 30/09/1993,8.0,83,1361P002
00:00:00 01/10/1993,0.5,83,1361P002
00:00:00 02/10/1993,0.0,83,1361P002
00:00:00 03/10/1993,0.0,83,1361P002
00:00:00 04/10/1993,16.5,83,1361P002
00:00:00 05/10/1993,0.0,83,1361P002
00:00:00 06/10/1993,0.0,83,1361P002
00:00:00 07/10/1993,0.0,83,1361P002
00:00:00 08/10/1993,0.0,83,1361P002
00:00:00 09/10/1993,0.0,83,1361P002
00:00:00 10/10/1993,0.0,83,1361P002
00:00:00 11/10/1993,0.5,83,1361P002
00:00:00 12/10/1993,0.0,83,1361P002
00:00:00 13/10/1993,0.0,83,1361P002
00:00:00 14/10/1993,0.0,83,1361P002
00:00:00 15/10/1993,0.0,83,1361P002
00:00:00 16/10/1993,0.0,83,1361P002
00:00:00 17/10/1993,1.0,83,1361P002
00:00:00 18/10/1993,0.0,83,1361P002
00:00:00 19/10/1993,0.0,83,1361P002
00:00:00 20/10/1993,25.5,83,1361P002
00:00:00 21/10/1993,0.0,83,1361P002
00:00:00 22/10/1993,0.0,83,1361P002
00:00:00 23/10/1993,0.0,83,1361P002
00:00:00 24/10/1993,0.0,83,1361P002
00:00:00 25/10/1993,0.0,83,1361P002
00:00:00 26/10/1993,0.0,83,1361P002
00:00:00 27/10/1993,0.0,83,1361P002
00:00:00 28/10/1993,0.0,83,1361P002
00:00:00 29/10/1993,17.0,83,1361P002
00:00:00 30/10/1993,2.5,83,1361P002
00:00:00 31/10/1993,24.5,83,1361P002
00:00:00 01/11/1993,0.0,83,1361P002
00:00:00 02/11/1993,0.0,83,1361P002
00:00:00 03/11/1993,0.0,83,1361P002
00:00:00 04/11/1993,10.0,83,1361P002
00:00:00 05/11/1993,0.0,83,1361P002
00:00:00 06/11/1993,0.0,83,1361P002
00:00:00 07/11/1993,0.0,83,1361P002
00:00:00 08/11/1993,24.0,83,1361P002
00:00:00 09/11/1993,3.5,83,1361P002
00:00:00 10/11/1993,11.0,83,1361P002
00:00:00 11/11/1993,3.0,83,1361P002
00:00:00 12/11/1993,13.5,83,1361P002
00:00:00 13/11/1993,1.0,83,1361P002
00:00:00 14/11/1993,0.5,83,1361P002
00:00:00 15/11/1993,2.0,83,1361P002
00:00:00 16/11/1993,0.5,83,1361P002
00:00:00 17/11/1993,2.0,83,1361P002
00:00:00 18/11/1993,0.0,83,1361P002
00:00:00 19/11/1993,0.0,83,1361P002
00:00:00 20/11/1993,0.0,83,1361P002
00:00:00 21/11/1993,41.5,83,1361P002
00:00:00 22/11/1993,15.0,83,1361P002
00:00:00 23/11/1993,33.5,83,1361P002
00:00:00 24/11/1993,26.0,83,1361P002
00:00:00 25/11/1993,1.5,83,1361P002
00:00:00 26/11/1993,0.0,83,1361P002
00:00:00 27/11/1993,0.0,83,1361P002
00:00:00 28/11/1993,0.0,83,1361P002
00:00:00 29/11/1993,0.0,83,1361P002
00:00:00 30/11/1993,0.0,83,1361P002
00:00:00 01/12/1993,0.0,83,1361P002
00:00:00 02/12/1993,0.0,83,1361P002
00:00:00 03/12/1993,0.0,83,1361P002
00:00:00 04/12/1993,0.0,83,1361P002
00:00:00 05/12/1993,0.0,83,1361P002
00:00:00 06/12/1993,0.0,83,1361P002
00:00:00 07/12/1993,0.0,83,1361P002
00:00:00 08/12/1993,2.5,83,1361P002
00:00:00 09/12/1993,8.5,83,1361P002
00:00:00 10/12/1993,2.5,83,1361P002
00:00:00 11/12/1993,0.0,83,1361P002
00:00:00 12/12/1993,0.5,83,1361P002
00:00:00 13/12/1993,0.0,83,1361P002
00:00:00 14/12/1993,0.0,83,1361P002
00:00:00 15/12/1993,0.0,83,1361P002
00:00:00 16/12/1993,2.0,83,1361P002
00:00:00 17/12/1993,1.5,83,1361P002
00:00:00 18/12/1993,0.0,83,1361P002
00:00:00 19/12/1993,0.0,83,1361P002
00:00:00 20/12/1993,0.0,83,1361P002
00:00:00 21/12/1993,0.0,83,1361P002
00:00:00 22/12/1993,0.0,83,1361P002
00:00:00 23/12/1993,8.5,83,1361P002
00:00:00 24/12/1993,0.0,83,1361P002
00:00:00 25/12/1993,0.0,83,1361P002
00:00:00 26/12/1993,8.0,83,1361P002
00:00:00 27/12/1993,0.0,83,1361P002
00:00:00 28/12/1993,0.0,83,1361P002
00:00:00 29/12/1993,0.0,83,1361P002
00:00:00 30/12/1993,0.0,83,1361P002
00:00:00 31/12/1993,0.0,83,1361P002
00:00:00 01/01/1994,0.0,83,1361P002
00:00:00 02/01/1994,0.0,83,1361P002
00:00:00 03/01/1994,0.0,83,1361P002
00:00:00 04/01/1994,0.0,83,1361P002
00:00:00 05/01/1994,0.0,83,1361P002
00:00:00 06/01/1994,0.0,83,1361P002
00:00:00 07/01/1994,0.0,83,1361P002
00:00:00 08/01/1994,10.5,83,1361P002
00:00:00 09/01/1994,33.5,83,1361P002
00:00:00 10/01/1994,0.0,83,1361P002
00:00:00 11/01/1994,0.0,83,1361P002
00:00:00 12/01/1994,0.0,83,1361P002
00:00:00 13/01/1994,0.0,83,1361P002
00:00:00 14/01/1994,0.0,83,1361P002
00:00:00 15/01/1994,29.0,83,1361P002
00:00:00 16/01/1994,0.5,83,1361P002
00:00:00 17/01/1994,2.0,83,1361P002
00:00:00 18/01/1994,58.5,83,1361P002
00:00:00 19/01/1994,35.5,83,1361P002
00:00:00 20/01/1994,0.5,83,1361P002
00:00:00 21/01/1994,37.0,83,1361P002
00:00:00 22/01/1994,18.0,83,1361P002
00:00:00 23/01/1994,0.0,83,1361P002
00:00:00 24/01/1994,0.0,83,1361P002
00:00:00 25/01/1994,0.0,83,1361P002
00:00:00 26/01/1994,0.0,83,1361P002
00:00:00 27/01/1994,0.5,83,1361P002
00:00:00 28/01/1994,1.5,83,1361P002
00:00:00 29/01/1994,2.0,83,1361P002
00:00:00 30/01/1994,0.0,83,1361P002
00:00:00 31/01/1994,10.5,83,1361P002
00:00:00 01/02/1994,1.5,83,1361P002
00:00:00 02/02/1994,21.5,83,1361P002
00:00:00 03/02/1994,70.0,83,1361P002
00:00:00 04/02/1994,7.5,83,1361P002
00:00:00 05/02/1994,0.5,83,1361P002
00:00:00 06/02/1994,8.5,83,1361P002
00:00:00 07/02/1994,0.0,83,1361P002
